City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,Lagoa,39.05,-27.9833,58.37,72,31,25.95,PT,2022-01-31 05:15:07
199,Berezovyy,51.6667,135.7,14.74,79,79,2.37,RU,2022-01-31 05:15:07
200,Kirakira,-10.4544,161.9205,84.22,75,59,6.78,SB,2022-01-31 05:15:08
201,Atkarsk,51.8718,45.0078,28.56,96,100,15.46,RU,2022-01-31 05:15:08
202,Namatanai,-3.6667,152.4333,84.25,72,97,5.75,PG,2022-01-31 05:15:08
203,Saint George,37.1041,-113.5841,43.54,35,0,0.0,US,2022-01-31 05:15:09
204,Nome,64.5011,-165.4064,-2.13,65,0,4.61,US,2022-01-31 05:10:35
205,Juegang,32.3174,121.1855,44.94,43,99,6.62,CN,2022-01-31 05:15:09
206,Preobrazheniye,42.9019,133.9064,21.51,40,3,7.52,RU,2022-01-31 05:15:10
207,Lorengau,-2.0226,147.2712,81.57,82,100,16.33,PG,2022-01-31 05:15:10
208,Antofagasta,-23.65,-70.4,63.68,83,51,2.98,CL,2022-01-31 05:15:10
209,Nanakuli,21.3906,-158.1547,75.15,66,75,4.61,US,2022-01-31 05:15:11
210,Seydi,39.4816,62.9137,37.72,65,60,7.56,TM,2022-01-31 05:15:11
211,Iracoubo,5.4802,-53.2011,75.85,88,62,10.38,GF,2022-01-31 05:15:11
212,Noumea,-22.2763,166.4572,82.38,76,77,6.55,NC,2022-01-31 05:12:56
213,Bambous Virieux,-20.3428,57.7575,86.22,79,75,11.5,MU,2022-01-31 05:15:12
214,Batemans Bay,-35.7167,150.1833,91.2,74,63,6.69,AU,2022-01-31 05:13:37
215,Veraval,20.9,70.3667,73.4,48,2,5.99,IN,2022-01-31 05:15:12
216,Maniitsoq,65.4167,-52.9,8.92,65,100,17.43,GL,2022-01-31 05:15:13
217,Hay River,60.8156,-115.7999,-7.62,71,75,10.36,CA,2022-01-31 05:15:13
218,Burnie,-41.0667,145.9167,76.95,65,44,6.67,AU,2022-01-31 05:15:13
219,Mombasa,-4.0547,39.6636,78.55,78,92,5.19,KE,2022-01-31 05:15:14
220,Bilibino,68.0546,166.4372,-9.38,96,79,4.76,RU,2022-01-31 05:15:14
221,Broome,42.2506,-75.833,10.78,80,0,1.01,US,2022-01-31 05:15:14
222,Maloy,61.9353,5.1136,34.05,66,100,4.0,NO,2022-01-31 05:15:15
223,Beringovskiy,63.05,179.3167,-2.97,95,100,10.69,RU,2022-01-31 05:15:15
224,Saint-Augustin,51.226,-58.6502,5.52,88,65,9.86,CA,2022-01-31 05:15:15
225,Mount Isa,-20.7333,139.5,80.37,78,75,19.57,AU,2022-01-31 05:15:16
226,Souillac,-20.5167,57.5167,86.36,79,75,11.5,MU,2022-01-31 05:15:16
227,Coihaique,-45.5752,-72.0662,49.95,62,20,5.75,CL,2022-01-31 05:15:17
228,Yulara,-25.2406,130.9889,84.04,65,75,9.22,AU,2022-01-31 05:15:17
229,Baherden,38.4362,57.4316,45.25,47,1,3.27,TM,2022-01-31 05:16:18
230,Biak,-0.9131,122.8766,87.49,57,81,8.46,ID,2022-01-31 05:16:18
231,Ancud,-41.8697,-73.8203,46.42,81,15,4.47,CL,2022-01-31 05:08:58
232,Oktyabrskoye,43.0645,44.7417,23.14,100,100,6.71,RU,2022-01-31 05:16:18
233,The Valley,18.217,-63.0578,77.09,73,6,16.62,AI,2022-01-31 05:16:19
234,Comodoro Rivadavia,-45.8667,-67.5,57.06,33,0,17.27,AR,2022-01-31 05:16:19
235,Kijang,35.2442,129.2139,46.13,13,0,1.63,KR,2022-01-31 05:16:19
236,Basoko,1.2391,23.616,70.2,45,100,1.66,CD,2022-01-31 05:16:20
237,Chara,56.9064,118.2631,-11.87,97,88,1.52,RU,2022-01-31 05:16:20
238,Clyde River,70.4692,-68.5914,-28.97,75,0,3.44,CA,2022-01-31 05:16:21
239,Pulawy,51.4166,21.9694,34.52,93,99,13.0,PL,2022-01-31 05:16:21
240,Strelka,58.0728,93.0344,5.4,92,95,3.44,RU,2022-01-31 05:16:21
241,Ambovombe,-25.1667,46.0833,76.77,63,2,9.13,MG,2022-01-31 05:16:22
242,Diego De Almagro,-26.3667,-70.05,59.18,67,0,2.01,CL,2022-01-31 05:16:22
243,Romny,50.751,33.4747,30.6,95,100,14.32,UA,2022-01-31 05:16:22
244,Verkhoturye,58.8627,60.8054,7.39,94,100,1.45,RU,2022-01-31 05:16:23
245,Caluquembe,-13.7833,14.6833,54.09,95,100,2.26,AO,2022-01-31 05:16:23
246,Snezhnogorsk,69.1933,33.2531,8.38,100,83,7.74,RU,2022-01-31 05:16:23
247,Mao,39.8885,4.2658,48.76,87,0,6.91,ES,2022-01-31 05:16:24
248,Uglich,57.5275,38.3317,23.95,94,100,10.0,RU,2022-01-31 05:16:24
249,Avarua,-21.2078,-159.775,77.05,88,20,8.05,CK,2022-01-31 05:16:25
250,Neuquen,-38.9516,-68.0591,62.49,45,0,8.05,AR,2022-01-31 05:13:06
251,Avera,33.194,-82.5271,46.27,84,1,7.2,US,2022-01-31 05:06:52
252,Alampur,15.8833,78.15,81.37,32,3,2.66,IN,2022-01-31 05:16:25
253,Gubkinskiy,64.434,76.5026,4.28,92,100,9.26,RU,2022-01-31 05:16:26
254,Kahului,20.8947,-156.47,74.84,66,20,4.61,US,2022-01-31 05:06:48
255,Provideniya,64.3833,-173.3,6.4,80,77,12.68,RU,2022-01-31 05:16:26
256,Cockburn Town,21.4612,-71.1419,74.21,80,98,19.15,TC,2022-01-31 05:16:27
257,Nouakchott,18.0858,-15.9785,69.73,42,100,12.12,MR,2022-01-31 05:16:27
258,Moerai,-22.4333,-151.3333,79.3,78,35,12.12,PF,2022-01-31 05:16:27
259,Vestmannaeyjar,63.4427,-20.2734,33.4,60,100,27.0,IS,2022-01-31 05:15:22
260,Kudahuvadhoo,2.6708,72.8944,82.27,74,6,13.04,MV,2022-01-31 05:16:28
261,Bloomington,44.8408,-93.2983,16.12,82,75,1.01,US,2022-01-31 05:15:00
262,Arraial Do Cabo,-22.9661,-42.0278,74.59,96,100,7.76,BR,2022-01-31 05:16:28
263,Sur,22.5667,59.5289,74.71,54,0,1.5,OM,2022-01-31 05:08:09
264,Talnakh,69.4865,88.3972,-14.15,92,88,9.44,RU,2022-01-31 05:16:29
265,Santo Antonio Do Monte,-20.0872,-45.2936,65.12,96,100,1.32,BR,2022-01-31 05:16:29
266,Kyabram,-36.3167,145.05,98.87,21,0,5.77,AU,2022-01-31 05:16:30
267,Vila Franca Do Campo,37.7167,-25.4333,58.19,79,75,14.07,PT,2022-01-31 05:09:25
268,Samut Songkhram,13.4,99.9583,92.98,40,5,9.4,TH,2022-01-31 05:16:30
269,Chinsali,-10.5414,32.0816,62.78,91,91,3.65,ZM,2022-01-31 05:16:30
